date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:04	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227149833697A959306EC3012A8588DCFA%22	http://v2static.epub360.com/diazo/player-dist/7149833697a959306ec3012a8588dcfa.eot?	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/7149833697a959306ec3012a8588dcfad41d.eot	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:06	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%2265BCBC899F379216109ACD0B6C494618%22	http://v2static.epub360.com/diazo/player-dist/65bcbc899f379216109acd0b6c494618.svg	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/65bcbc899f379216109acd0b6c494618.svg	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:10	12799/12799	---M--	200	added ('OK')	image/png	etag:%222516339970D710819585F90773AEBE0A%22	http://v2static.epub360.com/diazo/player-dist/2516339970d710819585f90773aebe0a.png	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/2516339970d710819585f90773aebe0a.png	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:14	24448/24448	---M--	200	added ('OK')	application/font-sfnt	etag:%2263F874D192FB3892D88D5E26F942B5E2%22	http://v2static.epub360.com/diazo/player-dist/63f874d192fb3892d88d5e26f942b5e2.TTF	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/63f874d192fb3892d88d5e26f942b5e2.TTF	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:17	776157/776157	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20May%202022%2015:03:32%20GMT	http://v2static.epub360.com/diazo/player-dist/mobileview.built.d5e6159f.cache.js	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/mobileview.built.d5e6159f.cache.js	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:12:17	776080/776080	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20May%202022%2015:03:32%20GMT	http://v2static.epub360.com/diazo/player-dist/touchview.built.49760833.cache.js	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/touchview.built.49760833.cache.js	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:12:18	24896/24896	---M--	200	added ('OK')	application/font-sfnt	etag:%221467E2D37EC60CC50117A8DB7C24F626%22	http://v2static.epub360.com/diazo/player-dist/1467e2d37ec60cc50117a8db7c24f626.TTF	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/1467e2d37ec60cc50117a8db7c24f626.TTF	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:18	112160/112160	---M--	200	added ('OK')	application/font-sfnt	etag:%22C4668ED2440DF82D3FD2F8BE9D31D07D%22	http://v2static.epub360.com/diazo/player-dist/c4668ed2440df82d3fd2f8be9d31d07d.ttf	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/c4668ed2440df82d3fd2f8be9d31d07d.ttf	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:19	278/278	---M--	404	error ('Not%20Found')	application/xml	date:Tue,%2010%20May%202022%2010:12:20%20GMT	http://v2static.epub360.com/robots.txt		(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:20	24676/24676	---M--	200	added ('OK')	application/font-sfnt	etag:%228E8E625F12E45ECC674F9579C4547351%22	http://v2static.epub360.com/diazo/player-dist/8e8e625f12e45ecc674f9579c4547351.TTF	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/8e8e625f12e45ecc674f9579c4547351.TTF	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:21	25480/25480	---M--	200	added ('OK')	application/font-sfnt	etag:%22223F224650510797E0F06233D2A0F97B%22	http://v2static.epub360.com/diazo/player-dist/223f224650510797e0f06233d2a0f97b.TTF	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/223f224650510797e0f06233d2a0f97b.TTF	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
18:12:21	40344/40344	---M--	200	added ('OK')	application/font-sfnt	etag:%223066B11123E63381B8E2AA554B18BF32%22	http://v2static.epub360.com/diazo/player-dist/3066b11123e63381b8e2aa554b18bf32.TTF	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/3066b11123e63381b8e2aa554b18bf32.TTF	(from http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css)
